city_id,id,slug,is_nfc,cash_in,type,working_weekends,is_digital,lat,lng,work_hours_week,work_hours_saturday,work_hours_sunday,address,name,function
55,364,sumqayit-filiali-620,0,0,B,1,0,40.580124,49.672601,09:00-17:00,10:00-14:00,,"Sumqayıt şəhəri, C. Cabbarlı küçəsi 1 (40-cı məhəllə)",Sumqayıt filialı,branch
55,365,qubadli-filiali-621,0,0,B,1,0,40.590489,49.667348,09:00-17:00,10:00-14:00,,"Sumqayıt şəhəri, 17-ci məhəllə, H.Əliyev prospekti 11/38, sahə 7",Qubadlı filialı,branch
20,366,gence-filiali-622,0,0,B,1,0,40.675517,46.360406,09:00-17:00,10:00-14:00,,"Gəncə şəhəri, Cavadxan küçəsi 24",Gəncə filialı,branch
20,367,kepez-filiali-623,0,0,B,0,0,40.677399,46.375969,09:00-17:00,,,"Gəncə şəhəri, Kəpəz rayonu, Nəriman Nərimanov prospekti 4-cü döngə, 2C",Kəpəz filialı,branch
43,368,mingecevir-sheher-filiali-624,0,0,B,0,0,40.770950,47.042714,09:00-17:00,,,"Mingəçevir şəhəri, M.Ə.Rəsulzadə küçəsi 1A",Mingəçevir şəhər filialı,branch
48,369,ordubad-filiali-687,0,0,B,0,0,38.903633,46.02407,09:00-17:00,,,"Ordubad rayonu, Mənsur Ağa küç. 6",Ordubad filialı,branch
45,370,culfa-filiali-625,0,0,B,0,0,38.95623,45.63379,09:00-17:00,,,"Naxçıvan MR, Culfa şəhəri, H. Əliyev prospekti 43",Culfa filialı,branch
61,371,sherur-filiali-626,0,0,B,0,0,39.55592,44.98428,09:00-17:00,,,"Naxçıvan MR, Şərur şəhəri, H.Əliyev 44A",Şərur filialı,branch
57,372,shahbuz-filiali-688,0,0,B,0,0,39.404974,45.568689,09:00-17:00,,,"Şahbuz şəhəri, H.Əliyev pr. 15",Şahbuz filialı,branch
53,373,sederek-filiali-628,0,0,B,0,0,39.72370,44.84978,09:00- 17:00,,,"Naxçıvan MR, Sədərək rayonu, Heydərəbad qəsəbəsi",Sədərək filialı,branch
34,374,qazax-rayon-filiali-629,0,0,B,0,0,41.08874,45.35684,09:00-17:00,,,"Qazax şəhəri, Heydər Əliyev pr. 65 A",Qazax rayon filialı,branch
12,375,berde-filiali-631,0,0,B,1,0,40.38531,47.12484,09:00-17:00,10:00-14:00,,"Bərdə şəhəri, M.Rəsulzadə küçəsi 11",Bərdə rayon filialı,branch
41,376,lenkeran-sheher-filiali-632,0,0,B,0,0,38.75304,48.85288,09:00-17:00,,,"Lənkəran şəhəri, M. Nəsirli küçəsi 3",Lənkəran şəhər filialı,branch
11,377,beyleqan-rayon-filiali-634,0,0,B,1,0,39.77288,47.61632,09:00-17:00,10:00-14:00,,"Beyləqan şəhəri,G.Əsədov küçəsi 46",Beyləqan rayon filialı,branch
62,378,shirvan-filiali-635,0,0,B,0,0,39.95262,48.94413,09:00-17:00,,,"Şirvan şəhəri, M. Ə. Rəsulzadə küçəsi 1",Şirvan şəhər filialı,branch
51,379,salyan-rayon-filiali-639,0,0,B,1,0,39.59728,48.98476,09:00-17:00,10:00-14:00,,"Salyan şəhəri, H.Əliyev küçəsi 90",Salyan rayon filialı,branch
50,380,sabirabad-rayon-filiali-636,0,0,B,1,0,40.004669,48.470555,09:00-17:00,10:00-14:00,,"Sabirabad şəhəri, H. Əliyev prospekti 33",Sabirabad rayon filialı,branch
63,381,terter-filiali-640,0,0,B,0,0,40.34212,46.93021,09:00-17:00,,,"Tərtər şəhəri, E.Hüseynov küçəsi 9",Tərtər rayon filialı,branch
69,382,zerdab-filiali-641,0,0,B,0,0,40.22066,47.71017,09:00-17:00,,,"Zərdab şəhəri,H.Əliyev pr. 17",Zərdab rayon filialı,branch
60,383,shemkir-rayon-filiali-642,0,0,B,1,0,40.82901,46.02375,09:00-17:00,10:00-14:00,,"Şəmkir şəhəri, 20 Yanvar küçəsi 2",Şəmkir rayon filialı,branch
38,384,qusar-rayon-filiali-643,0,0,B,0,0,41.41855,48.41706,09:00-17:00,,,"Qusar şəhəri, H.Əliyev prospekti 127",Qusar rayon filialı,branch
35,385,qebele-rayon-filiali-644,0,0,B,0,0,40.99382,47.86082,09:00-17:00,,,"Qəbələ ray, İ. Qutqaşınlı küçəsi 50",Qəbələ rayon filialı,branch
21,386,goranboy-filiali-645,0,0,B,1,0,40.60779,46.78899,09:00-17:00,10:00-14:00,,"Goranboy şəhəri, H. Əliyev prospekti 9",Goranboy filialı,branch
13,388,siyezen-rayon-filiali-650,0,0,B,0,0,39.45474,48.54655,09:00-17:00,,,"Biləsuvar şəhəri, H. Əliyev küçəsi 42",Biləsuvar rayon filialı,branch
44,389,naftalan-sheher-filiali-651,0,0,B,0,0,40.50581,46.81395,09:00-17:00,,,"Naftalan şəhəri, S.Qurbanov küçəsi 11",Naftalan şəhər filialı,branch
32,390,kurdemir-filiali-652,0,0,B,0,0,40.35275,48.16334,09:00-17:00,,,"Kürdəmir şəhəri, Babək küçəsi 47",Kürdəmir filialı,branch
56,391,shabran-filiali-653,0,0,B,0,0,41.200821,48.98307,09:00-17:00,,,"Şabran şəhəri, M. Ə. Rəsulzadə küçəsi 16B",Şabran filialı,branch
49,392,saatli-rayon-filiali-637,0,0,B,0,0,39.938950,48.372665,09:00-17:00,,,"Saatlı şəhəri, H. Əliyev prospekti 131",Saatlı rayon filialı,branch
42,393,masalli-rayon-filiali-655,0,0,B,1,0,39.02918,48.66348,09:00-17:00,10:00-14:00,,"Masallı şəhəri, H.Əliyev prospekti 91",Masallı rayon filialı,branch
15,394,celilabad-rayon-filiali-656,0,0,B,0,0,39.21206,48.50521,09:00-17:00,,,"Cəlilabad şəhəri, Azərbaycan küçəsi, 121",Cəlilabad rayon filialı,branch
24,395,haciqabul-rayon-filiali-638,0,0,B,0,0,40.027628,48.935069,09:00-17:00,,,"Hacıqabul şəhəri, İ. Qayıbov küçəsi 23B",Hacıqabul rayon filialı,branch
46,396,neftcala-rayon-filiali,0,0,B,0,0,39.38902,49.24631,09:00-17:00,,,"Neftçala şəhəri, H.Əliyev prospekti 33A",Neftçala rayon filialı,branch
37,397,quba-rayon-filiali-658,0,0,B,0,0,41.35880,48.50352,09:00-17:00,,,"Quba şəhəri, H. Əliyev prospekti 23",Quba rayon filialı,branch
25,398,xacmaz-filiali-659,0,0,B,0,0,41.46699,48.80243,09:00-17:00,,,"Xaçmaz şəhəri,  H. Z. Tağıyev küçəsi 9",Xaçmaz rayon filialı,branch
29,399,imishli-rayon-filiali-660,0,0,B,1,0,39.8700931535826,48.060090267211876,09:00-17:00,10:00-14:00,,"İmişli şəhəri, H. Əliyev prospekti 144",İmişli rayon filialı,branch
47,400,oguz-rayon-filiali-661,0,0,B,0,0,41.07184,47.46340,09:00-17:00,,,"Oğuz şəhəri, H. Aslanov küçəsi 10",Oğuz rayon filialı,branch
10,401,balaken-rayon-filiali-662,0,0,B,0,0,41.72346,46.40532,09:00-17:00,,,"Balakən şəhəri, M. Əsədov küçəsi 21",Balakən rayon filialı,branch
59,402,sheki-rayon-filiali-663,0,0,B,0,0,41.19912,47.17721,09:00-17:00,,,"Şəki şəhəri, M.Müşfiq küçəsi 40",Şəki rayon filialı,branch
33,403,qax-rayon-filiali,0,0,B,0,0,41.422115,46.913915,09:00-17:00,,,"Qax şəhəri, Ü. Hacıbəyov küçəsi 10",Qax rayon filialı,branch
20,518,gence-kart-merkezi-860,0,0,B,0,0,40.68690872,46.36455154,09:00-18:00,,,"Gəncə şəhəri, H.Əliyev prospekti 101A",Nizami filialı,branch
54,771,siyezen-rayon-filiali-399,0,0,B,0,0,41.07602397481947,49.112882940205374,09:00-17:00,,,"Siyəzən şəhəri, Əziz Əliyev küç 3",Siyəzən rayon filialı,branch
36,867,qobustan-rayon-filiali-665,0,0,B,0,0,40.529361724853516,48.93791580200195,09:00-17:00,,,"Qobustan şəhəri, Yeni massiv 1, ev11",Qobustan rayon filialı,branch
58,868,shamaxi-rayon-filiali-666,0,0,B,0,0,40.63338,48.64276,09:00-17:00,,,"Şamaxı şəhəri, Gənclər küçəsi 33",Şamaxı rayon filialı,branch
40,869,lerik-filiali-667,0,0,B,0,0,38.77010,48.42039,09:00-17:00,,,"Lerik şəhəri, C. Şahıyev küçəsi 3A",Lerik filialı,branch
66,870,yardimli-filiali-668,0,0,B,0,0,38.903430,48.236396,09:00-17:00,,,"Yardımlı şəhəri, H. Əliyev prospekti 41",Yardımlı rayon filialı,branch
